Device EUI,Device Type,Hardware Revision,Install Code,Datalogger Firmware Revision,Ember Firmware Revision,Router Firmware Revision,Meter EndPoint,Latest Release Number
0x541DFB00000006E0,,,,,,,,
0x541DFB00000006E1,,,,,,,,
0x541DFB00000006E2,,,,,,,,20130826_1
0x541DFB00000006E3,,,,,,,,
0x541DFB00000006E4,,,,,,,,
0x541DFB00000006E5,,,,,,,,
0x541DFB00000006E6,,,,,,,,
0x541DFB00000006E7,,,,,,,,
0x541DFB00000006E8,,,,,,,,
0x541DFB00000006E9,,,,,,,,20130826_2
0x541DFB00000006EA,,,,,,,,20130826_1
0x541DFB00000006EB,ZGL,,,,,,,20130826_1
0x541DFB00000006EC,ZGL,,,,,,,20130826_1
0x541DFB00000006ED,,,,,,,,20130826_2
0x541DFB00000006EE,,,,,,,,20130826_2
0x541DFB00000006EF,,,,,,,,20130826_2
0x541DFB00000006F0,,,,,,,,20130826_2
0x541DFB00000006F1,,,,,,,,
0x541DFB00000006F2,,,,,,,,
0x541DFB00000006F3,,,,,,,,
0x541DFB00000006F4,,,,,,,,
0x541DFB00000006F5,,,,,,,,
0x541DFB00000006F6,,,,,,,,
0x541DFB00000006F7,,,,,,,,
0x541DFB00000006F8,,,,,,,,
0x541DFB00000006F9,,,,,,,,
0x541DFB00000006FA,,,,,,,,
0x541DFB00000006FB,,,,,,,,
0x541DFB00000006FC,,,,,,,,
0x541DFB00000006FD,,,,,,,,
0x541DFB00000006FE,,,,,,,,
0x541DFB00000006FF,,,,,,,,
